Date;Ano;Mes;mes_nome;indice ONI;Classificacao;Intensidade;DP_Referencia
01/01/1950;1950;1;janeiro;-1,53;La Nina;Forte;-0,5
01/02/1950;1950;2;fevereiro;-1,34;La Nina;Moderado;-0,5
01/03/1950;1950;3;março;-1,16;La Nina;Moderado;-0,5
01/04/1950;1950;4;abril;-1,18;La Nina;Moderado;-0,5
01/05/1950;1950;5;maio;-1,07;La Nina;Moderado;-0,5
01/06/1950;1950;6;junho;-0,85;La Nina;Fraco;-0,5
01/07/1950;1950;7;julho;-0,54;La Nina;Fraco;-0,5
01/08/1950;1950;8;agosto;-0,42;Neutro;Normal;0
01/09/1950;1950;9;setembro;-0,39;Neutro;Normal;0
01/10/1950;1950;10;outubro;-0,44;Neutro;Normal;0
01/11/1950;1950;11;novembro;-0,6;La Nina;Fraco;-0,5
01/12/1950;1950;12;dezembro;-0,8;La Nina;Fraco;-0,5
01/01/1951;1951;1;janeiro;-0,82;La Nina;Fraco;-0,5
01/02/1951;1951;2;fevereiro;-0,54;La Nina;Fraco;-0,5
01/03/1951;1951;3;março;-0,17;Neutro;Normal;0
01/04/1951;1951;4;abril;0,18;Neutro;Normal;0
01/05/1951;1951;5;maio;0,36;Neutro;Normal;0
01/06/1951;1951;6;junho;0,58;El Nino;Fraco;0,5
01/07/1951;1951;7;julho;0,7;El Nino;Fraco;0,5
01/08/1951;1951;8;agosto;0,89;El Nino;Fraco;0,5
01/09/1951;1951;9;setembro;0,99;Neutro;Normal;0
01/10/1951;1951;10;outubro;1,15;El Nino;Moderado;0,5
01/11/1951;1951;11;novembro;1,04;El Nino;Moderado;0,5
01/12/1951;1951;12;dezembro;0,81;El Nino;Fraco;0,5
01/01/1952;1952;1;janeiro;0,53;El Nino;Fraco;0,5
01/02/1952;1952;2;fevereiro;0,37;Neutro;Normal;0
01/03/1952;1952;3;março;0,34;Neutro;Normal;0
01/04/1952;1952;4;abril;0,29;Neutro;Normal;0
01/05/1952;1952;5;maio;0,2;Neutro;Normal;0
01/06/1952;1952;6;junho;0;Neutro;Normal;0
01/07/1952;1952;7;julho;-0,08;Neutro;Normal;0
01/08/1952;1952;8;agosto;0;Neutro;Normal;0
01/09/1952;1952;9;setembro;0,15;Neutro;Normal;0
01/10/1952;1952;10;outubro;0,1;Neutro;Normal;0
01/11/1952;1952;11;novembro;0,04;Neutro;Normal;0
01/12/1952;1952;12;dezembro;0,15;Neutro;Normal;0
01/01/1953;1953;1;janeiro;0,4;Neutro;Normal;0
01/02/1953;1953;2;fevereiro;0,6;El Nino;Fraco;0,5
01/03/1953;1953;3;março;0,63;El Nino;Fraco;0,5
01/04/1953;1953;4;abril;0,66;El Nino;Fraco;0,5
01/05/1953;1953;5;maio;0,75;El Nino;Fraco;0,5
01/06/1953;1953;6;junho;0,77;El Nino;Fraco;0,5
01/07/1953;1953;7;julho;0,75;El Nino;Fraco;0,5
01/08/1953;1953;8;agosto;0,73;El Nino;Fraco;0,5
01/09/1953;1953;9;setembro;0,78;El Nino;Fraco;0,5
01/10/1953;1953;10;outubro;0,84;El Nino;Fraco;0,5
01/11/1953;1953;11;novembro;0,84;El Nino;Fraco;0,5
01/12/1953;1953;12;dezembro;0,81;El Nino;Fraco;0,5
01/01/1954;1954;1;janeiro;0,76;El Nino;Fraco;0,5
01/02/1954;1954;2;fevereiro;0,47;Neutro;Normal;0
01/03/1954;1954;3;março;-0,05;Neutro;Normal;0
01/04/1954;1954;4;abril;-0,41;Neutro;Normal;0
01/05/1954;1954;5;maio;-0,54;La Nina;Fraco;-0,5
01/06/1954;1954;6;junho;-0,5;La Nina;Fraco;-0,5
01/07/1954;1954;7;julho;-0,64;La Nina;Fraco;-0,5
01/08/1954;1954;8;agosto;-0,84;La Nina;Fraco;-0,5
01/09/1954;1954;9;setembro;-0,9;La Nina;Fraco;-0,5
01/10/1954;1954;10;outubro;-0,77;La Nina;Fraco;-0,5
01/11/1954;1954;11;novembro;-0,73;La Nina;Fraco;-0,5
01/12/1954;1954;12;dezembro;-0,66;La Nina;Fraco;-0,5
01/01/1955;1955;1;janeiro;-0,68;La Nina;Fraco;-0,5
01/02/1955;1955;2;fevereiro;-0,62;La Nina;Fraco;-0,5
01/03/1955;1955;3;março;-0,69;La Nina;Fraco;-0,5
01/04/1955;1955;4;abril;-0,8;La Nina;Fraco;-0,5
01/05/1955;1955;5;maio;-0,79;La Nina;Fraco;-0,5
01/06/1955;1955;6;junho;-0,72;La Nina;Fraco;-0,5
01/07/1955;1955;7;julho;-0,68;La Nina;Fraco;-0,5
01/08/1955;1955;8;agosto;-0,75;La Nina;Fraco;-0,5
01/09/1955;1955;9;setembro;-1,09;La Nina;Moderado;-0,5
01/10/1955;1955;10;outubro;-1,42;Neutro;Normal;0
01/11/1955;1955;11;novembro;-1,67;La Nina;Forte;-0,5
01/12/1955;1955;12;dezembro;-1,47;Neutro;Normal;0
01/01/1956;1956;1;janeiro;-1,11;La Nina;Moderado;-0,5
01/02/1956;1956;2;fevereiro;-0,76;La Nina;Fraco;-0,5
01/03/1956;1956;3;março;-0,63;La Nina;Fraco;-0,5
01/04/1956;1956;4;abril;-0,54;La Nina;Fraco;-0,5
01/05/1956;1956;5;maio;-0,52;La Nina;Fraco;-0,5
01/06/1956;1956;6;junho;-0,51;La Nina;Fraco;-0,5
01/07/1956;1956;7;julho;-0,57;La Nina;Fraco;-0,5
01/08/1956;1956;8;agosto;-0,55;La Nina;Fraco;-0,5
01/09/1956;1956;9;setembro;-0,46;Neutro;Normal;0
01/10/1956;1956;10;outubro;-0,42;Neutro;Normal;0
01/11/1956;1956;11;novembro;-0,43;Neutro;Normal;0
01/12/1956;1956;12;dezembro;-0,43;Neutro;Normal;0
01/01/1957;1957;1;janeiro;-0,25;Neutro;Normal;0
01/02/1957;1957;2;fevereiro;0,06;Neutro;Normal;0
01/03/1957;1957;3;março;0,41;Neutro;Normal;0
01/04/1957;1957;4;abril;0,72;El Nino;Fraco;0,5
01/05/1957;1957;5;maio;0,92;Neutro;Normal;0
01/06/1957;1957;6;junho;1,11;El Nino;Moderado;0,5
01/07/1957;1957;7;julho;1,25;El Nino;Moderado;0,5
01/08/1957;1957;8;agosto;1,32;El Nino;Moderado;0,5
01/09/1957;1957;9;setembro;1,33;El Nino;Moderado;0,5
01/10/1957;1957;10;outubro;1,39;El Nino;Moderado;0,5
01/11/1957;1957;11;novembro;1,53;El Nino;Forte;0,5
01/12/1957;1957;12;dezembro;1,74;El Nino;Forte;0,5
01/01/1958;1958;1;janeiro;1,81;El Nino;Forte;0,5
01/02/1958;1958;2;fevereiro;1,66;El Nino;Forte;0,5
01/03/1958;1958;3;março;1,27;El Nino;Moderado;0,5
01/04/1958;1958;4;abril;0,93;Neutro;Normal;0
01/05/1958;1958;5;maio;0,74;El Nino;Fraco;0,5
01/06/1958;1958;6;junho;0,64;El Nino;Fraco;0,5
01/07/1958;1958;7;julho;0,57;El Nino;Fraco;0,5
01/08/1958;1958;8;agosto;0,43;Neutro;Normal;0
01/09/1958;1958;9;setembro;0,39;Neutro;Normal;0
01/10/1958;1958;10;outubro;0,44;Neutro;Normal;0
01/11/1958;1958;11;novembro;0,5;El Nino;Fraco;0,5
01/12/1958;1958;12;dezembro;0,61;El Nino;Fraco;0,5
01/01/1959;1959;1;janeiro;0,61;El Nino;Fraco;0,5
01/02/1959;1959;2;fevereiro;0,62;El Nino;Fraco;0,5
01/03/1959;1959;3;março;0,52;El Nino;Fraco;0,5
01/04/1959;1959;4;abril;0,33;Neutro;Normal;0
01/05/1959;1959;5;maio;0,2;Neutro;Normal;0
01/06/1959;1959;6;junho;-0,07;Neutro;Normal;0
01/07/1959;1959;7;julho;-0,18;Neutro;Normal;0
01/08/1959;1959;8;agosto;-0,28;Neutro;Normal;0
01/09/1959;1959;9;setembro;-0,09;Neutro;Normal;0
01/10/1959;1959;10;outubro;-0,03;Neutro;Normal;0
01/11/1959;1959;11;novembro;0,05;Neutro;Normal;0
01/12/1959;1959;12;dezembro;-0,04;Neutro;Normal;0
01/01/1960;1960;1;janeiro;-0,1;Neutro;Normal;0
01/02/1960;1960;2;fevereiro;-0,1;Neutro;Normal;0
01/03/1960;1960;3;março;-0,07;Neutro;Normal;0
01/04/1960;1960;4;abril;0,03;Neutro;Normal;0
01/05/1960;1960;5;maio;0,02;Neutro;Normal;0
01/06/1960;1960;6;junho;0,03;Neutro;Normal;0
01/07/1960;1960;7;julho;0,13;Neutro;Normal;0
01/08/1960;1960;8;agosto;0,24;Neutro;Normal;0
01/09/1960;1960;9;setembro;0,27;Neutro;Normal;0
01/10/1960;1960;10;outubro;0,2;Neutro;Normal;0
01/11/1960;1960;11;novembro;0,12;Neutro;Normal;0
